sample_id,HAVCR2,LAG3,PDCD1,TIGIT
TCGA-AG-3591-01,96.6929,19.5443,6.1719,16.9727
TCGA-AG-3592-01,101.57,63.7616,21.1471,30.439
TCGA-AG-3593-01,183.0565,61.1909,44.0927,32.5819
TCGA-AG-3594-01,293.7471,278.141,116.3589,118.8999
TCGA-AG-3598-01,176.6014,125.4886,53.7001,26.6545
TCGA-AG-3599-01,150.7326,129.203,51.4021,45.8244
TCGA-AG-3600-01,340.3128,104.9697,60.7633,27.4259
TCGA-AG-3601-01,89.1016,27.9429,2.1597,10.6807
TCGA-AG-3602-01,171.4091,31.5117,12.8505,29.4852
TCGA-AG-3605-01,86.3343,23.3035,15.454,5.3101
TCGA-AG-3608-01,207.299,96.2645,29.096,53.6894
TCGA-AG-3609-01,241.4163,156.2528,50.889,48.5861
TCGA-AG-3725-01,46.875,54.0541,29.1385,24.4932
TCGA-AG-3726-01,39.4962,73.0611,34.18,6.8078
TCGA-AG-3727-01,36.6212,38.9353,35.6453,7.9714
TCGA-AG-3728-01,168.0246,116.6833,61.8947,55.9337
TCGA-AG-3731-01,321.514,165.536,60.021,157.89
TCGA-AG-3732-01,76.644,107.029,64.3991,157.823
TCGA-AG-3742-01,104.004,23.9258,9.2773,20.9961
TCGA-AG-3878-01,165.9008,211.9386,104.4165,66.5197
TCGA-AG-3881-01,234.6876,87.3819,51.6112,16.1758
TCGA-AG-3882-01,136.6454,325.8514,153.5433,84.129
TCGA-AG-3883-01,228.5694,100.4748,75.772,10.4742
TCGA-AG-3885-01,53.9647,105.4518,52.1298,15.043
TCGA-AG-3887-01,118.6883,99.7352,40.8648,23.1547
TCGA-AG-3890-01,133.7866,110.556,61.152,39.1973
TCGA-AG-3892-01,254.0249,162.2123,72.8142,76.5129
TCGA-AG-3893-01,160.0793,40.7685,17.1394,24.3582
TCGA-AG-3894-01,59.6543,19.165,49.3214,5.3921
TCGA-AG-3896-01,132.266,31.1937,16.7419,7.5479
TCGA-AG-3898-01,157.6654,36.0144,11.9779,25.4111
TCGA-AG-3901-01,456.9746,76.5852,36.5728,38.9284
TCGA-AG-3902-01,270.091,235.763,103.632,156.744
TCGA-AG-3909-01,99.4284,26.7613,17.3784,9.8751
TCGA-AG-3999-01,78.9537,16.9944,10.5428,4.2812
TCGA-AG-4001-01,247.7889,55.3937,30.6867,38.2149
TCGA-AG-4005-01,106.2367,36.3145,20.5654,17.7819
TCGA-AG-4007-01,172.3935,108.3422,61.3615,22.8911
TCGA-AG-4008-01,211.5072,30.0586,38.0419,19.2977
TCGA-AG-4015-01,97.4315,49.5556,32.3666,22.9486
TCGA-AG-4021-01,200.074,31.6103,7.4377,18.5943
TCGA-AG-4022-01,242.371,44.6705,13.7107,92.8793
TCGA-AG-A002-01,19.3113,25.3769,9.6253,-0.285
TCGA-AG-A008-01,55.1585,36.2358,32.2937,9.1396
TCGA-AG-A00C-01,58.0871,40.015,13.8286,10.9627
TCGA-AG-A00Y-01,95.1672,199.0288,32.8323,31.4308
TCGA-AG-A011-01,110.4369,39.6471,25.5404,20.4957
TCGA-AG-A015-01,39.7569,12.4108,17.1976,3.2504
TCGA-AG-A016-01,15.4079,7.1476,3.5313,6.526
TCGA-AG-A01J-01,39.5164,45.6936,13.4285,16.5409
TCGA-AG-A01L-01,48.5559,33.6424,21.3515,16.9573
TCGA-AG-A01N-01,34.2921,23.666,7.1718,7.9159
TCGA-AG-A01W-01,98.3632,48.598,24.7188,27.6047
TCGA-AG-A01Y-01,206.3634,71.6292,66.7355,64.9262
TCGA-AG-A020-01,37.7719,23.5276,3.3585,8.2435
TCGA-AG-A025-01,70.8372,62.5262,17.8839,26.2945
TCGA-AG-A026-01,36.2247,23.3827,12.6001,6.7569
TCGA-AG-A02G-01,72.1027,66.896,43.3843,19.3755
TCGA-AG-A02N-01,173.0018,137.9082,18.0892,41.2809
TCGA-AG-A02X-01,34.4353,36.5557,12.159,4.1016
TCGA-AG-A032-01,53.9983,37.9177,27.2063,13.6153
TCGA-AH-6544-01,4.7778,5.2556,0.0,1.9111
TCGA-AH-6547-01,349.902,93.9961,50.1969,245.571
TCGA-AH-6643-01,78.2793,15.479,76.5102,9.7296
TCGA-AH-6644-01,210.692,79.0656,33.2435,60.6469
TCGA-AH-6897-01,26.9518,12.3041,5.8591,5.2732
TCGA-AH-6903-01,40.0763,14.7901,7.6336,19.084
TCGA-AM-5820-01,175.365,10.0209,3.3403,3.3403
TCGA-AM-5821-01,289.29,187.064,54.8017,86.4181
TCGA-AU-3779-01,203.284,63.5913,38.0506,71.41
TCGA-AU-6004-01,399.694,118.509,65.5953,99.2675
TCGA-AY-4070-01,105.0593,125.3407,52.1124,59.4129
TCGA-AY-4071-01,203.7266,154.9992,62.4729,59.7764
TCGA-AY-5543-01,98.5804,52.8391,19.7161,53.2334
TCGA-AY-6196-01,794.718,211.285,280.312,439.376
TCGA-AY-6197-01,87.4898,80.1308,19.6239,51.1038
TCGA-AY-6386-01,83.2684,33.3964,29.3888,36.5134
TCGA-AY-A54L-01,11.0263,22.4767,8.0577,9.3299
TCGA-AY-A69D-01,74.9356,28.4116,11.3646,31.2528
TCGA-AY-A71X-01,29.2083,25.3651,6.9178,7.6864
TCGA-AY-A8YK-01,66.8718,19.9687,12.5385,8.8234
TCGA-AZ-4308-01,83.6008,40.4778,36.1806,12.1932
TCGA-AZ-4313-01,34.5154,24.1135,9.9291,21.2766
TCGA-AZ-4315-01,204.618,88.83,21.6551,25.6325
TCGA-AZ-4323-01,199.724,440.597,354.284,676.954
TCGA-AZ-4614-01,37.9902,71.8954,38.3987,33.0882
TCGA-AZ-4615-01,491.815,392.416,139.442,155.93
