sample_id,stratum,tGJS,HK2,BCL2L1,TSPO,HK2_norm,BCL2L1_norm,TSPO_norm,CD8A,IFNG,CXCL10,GZMB,PRF1,HAVCR2,LAG3,PDCD1,TIGIT,CGAS,STING1,ENPP1,TREX1,CD274,immune_proxy,exhaustion_score,ee_ratio,acute_sting,chronic_sting,sting_ratio
TCGA-AG-4021-01,MSS_TP53mut,0.26131756756756763,2974.34,2060.99,1751.58,0.5608108108108109,0.07601351351351351,0.0472972972972973,13.016,0.3719,166.605,63.5924,58.386,200.074,31.6103,7.4377,18.5943,119.003,1565.27,55.7828,256.006,16.7348,-0.5001429028492179,-0.3311819508489722,-0.13564021001905968,-0.4999709261577154,-0.09834895533040255,-0.4016219708273128
TCGA-AG-4022-01,MSS_TP53mut,0.4263513513513513,2525.87,5290.14,2052.19,0.42736486486486486,0.7567567567567568,0.0945945945945946,131.8,5.3074,729.766,729.766,224.679,242.371,44.6705,13.7107,92.8793,115.878,1114.11,208.757,240.283,38.4785,0.3200267694203074,0.10122946108643718,0.37934724592780333,-0.11053374301054021,-0.03381955138352909,-0.07671419162701112
TCGA-AG-A002-01,MSS_TP53wt,0.7116554054054054,2719.3123,8661.9661,4948.977,0.4831081081081081,0.9763513513513513,0.7516891891891891,32.1879,-0.2946,60.369,17.6462,41.2919,19.3113,25.3769,9.6253,-0.285,106.057,606.7316,130.9364,274.4111,11.3243,-0.5493479449623584,-0.6880126351922368,0.1406803848523388,-0.6370315418180584,-0.4822956706544643,-0.1547358711635941
TCGA-AG-A008-01,MSIH_TP53wt,0.6471283783783784,6205.9711,2788.479,4463.0023,0.9324324324324325,0.22972972972972974,0.6841216216216216,17.4594,4.8024,55.115,43.265,44.2532,55.1585,36.2358,32.2937,9.1396,123.4224,2022.206,64.945,337.6189,18.1124,-0.4532166743598455,-0.46046594803992247,0.10270154613632271,-0.523250892937251,0.36844908935411236,-0.8916999822913634
TCGA-AG-A00C-01,MSIH_TP53mut,0.5709459459459458,2365.0442,4283.6876,5874.2953,0.3530405405405405,0.5726351351351351,0.8597972972972973,48.1295,-0.2946,70.0562,253.2701,67.9406,58.0871,40.015,13.8286,10.9627,76.4474,1907.2938,46.4567,346.8766,4.8391,-0.3781604756581217,-0.5330627678822171,0.2378719972456531,-0.43113540578592335,-0.431882136626535,0.0007467308406116646
TCGA-AG-A00Y-01,MSS_TP53mut,0.4969594594594594,2649.1858,3934.9128,3832.0994,0.4594594594594595,0.5135135135135135,0.5304054054054054,49.5853,0.5156,617.1051,122.5454,88.2177,95.1672,199.0288,32.8323,31.4308,117.5306,792.7191,51.6853,292.902,18.9304,-0.3118177804007601,0.0023341324121290558,-0.3817458523968453,-0.213402990183633,-0.010823486175729286,-0.20257950400790373
TCGA-AG-A011-01,MSS_TP53mut,0.6182432432432432,2764.8937,4742.2377,4724.7577,0.5016891891891891,0.6638513513513513,0.7280405405405406,50.8528,-0.2946,80.0305,38.8149,54.1119,110.4369,39.6471,25.5404,20.4957,72.5327,1604.9844,127.5411,561.6574,13.9858,-0.5053664309285034,-0.35533309878597785,-0.16045521185675848,-0.4161384161575828,-0.1757549917852304,-0.24038342437235238
TCGA-AG-A015-01,MSIH_TP53wt,0.5035472972972973,2891.4265,3716.5555,3751.0874,0.535472972972973,0.44594594594594594,0.518581081081081,7.2344,0.5242,30.2199,26.7786,28.3714,39.7569,12.4108,17.1976,3.2504,84.5509,868.8279,60.7113,149.8088,11.5624,-0.5693106829699575,-0.6285218270373694,0.10510269224790036,-0.6393977399596183,-0.47329636350763216,-0.1661013764519862
TCGA-AG-A016-01,MSS_TP53mut,0.6288851351351351,2162.9403,6649.0656,5388.558,0.2989864864864865,0.893581081081081,0.8040540540540541,8.0386,-0.2946,12.2508,21.8733,87.502,15.4079,7.1476,3.5313,6.526,248.4036,390.0211,60.1604,274.9056,0.853,-0.5604284245489152,-0.7298705336561174,0.22606248488324654,-0.632961501690286,-0.3939117733310986,-0.23904972835918736
TCGA-AG-A01J-01,MSS_TP53mut,0.8719594594594595,4947.6419,6433.2581,6132.1512,0.8699324324324325,0.8800675675675675,0.8665540540540541,141.4146,-0.2946,45.8537,458.1652,66.3174,39.5164,45.6936,13.4285,16.5409,31.368,1169.1084,272.4919,226.8662,15.7328,-0.15987037220560155,-0.5294079171142576,0.4323289447755959,-0.28631282984021583,-0.25730109575563964,-0.02901173408457619
TCGA-AG-A01L-01,MSS_TP53mut,0.6560810810810811,2938.2576,4960.4818,4974.7845,0.5506756756756757,0.6959459459459459,0.7567567567567568,46.3507,1.0572,72.7492,46.944,63.8624,48.5559,33.6424,21.3515,16.9573,75.8641,1571.2069,168.4486,485.3837,7.2049,-0.47641201859174764,-0.4970183023329492,0.04045119705931738,-0.48842146036336953,-0.41023500706030136,-0.07818645330306817
TCGA-AG-A01N-01,MSS_TP53mut,0.6716216216216215,3052.7669,8357.3244,3564.3438,0.5945945945945946,0.9712837837837838,0.47466216216216217,13.8977,-0.2946,22.0157,85.018,35.2751,34.2921,23.666,7.1718,7.9159,93.7117,1057.9072,76.0751,235.7428,2.3892,-0.541641761886331,-0.6460458126311482,0.15917891072282792,-0.6218351839711249,-0.44456506244402566,-0.17727012152709926
TCGA-AG-A01W-01,MSS_TP53mut,0.518918918918919,2948.8528,2910.9719,4732.9034,0.5523648648648649,0.2635135135135135,0.7297297297297297,127.3053,5.3072,293.9344,95.8335,70.9153,98.3632,48.598,24.7188,27.6047,109.7377,1069.9775,123.4003,229.3063,24.4416,-0.225843456409511,-0.3312630572429205,0.06347373614308277,0.06639703313240786,-0.31013134113648666,0.3765283742688945
TCGA-AG-A01Y-01,MSS_TP53mut,0.4001689189189189,2217.5939,3577.2488,3629.1551,0.3125,0.42567567567567566,0.49155405405405406,183.8891,6.4318,914.6648,112.898,126.4828,206.3634,71.6292,66.7355,64.9262,35.9927,449.8255,97.4098,224.0323,37.4195,0.028183595603488227,0.24294226920903095,-0.41096277542491055,0.10413378360659589,0.21506268907324524,-0.11092890546664935
TCGA-AG-A020-01,MSS_TP53mut,0.5717905405405406,5213.731,3076.8178,3377.7834,0.8834459459459459,0.3125,0.4155405405405405,41.3667,-0.2946,130.6639,55.6514,45.972,37.7719,23.5276,3.3585,8.2435,134.0439,622.7051,116.0605,331.5545,13.093,-0.499657842833539,-0.6585649684467633,0.15222771623733644,-0.3192658683018663,-0.240498045637468,-0.07876782266439833
TCGA-AG-A025-01,MSS_TP53wt,0.5201013513513513,2915.8236,2317.7669,6689.4327,0.543918918918919,0.10810810810810811,0.9003378378378378,82.2389,-0.2946,101.2128,541.7915,73.4307,70.8372,62.5262,17.8839,26.2945,33.6866,3072.176,31.6461,445.4075,8.597,-0.1620183602645379,-0.3867772572606949,0.37718731973119496,-0.4388869127823914,-0.2638909222628199,-0.1749959905195715
TCGA-AG-A026-01,MSS_TP53mut,0.5560810810810811,2104.4703,7399.6794,3907.9482,0.2702702702702703,0.9493243243243243,0.543918918918919,35.1464,-0.2946,57.2088,268.268,48.2189,36.2247,23.3827,12.6001,6.7569,4.5012,774.7626,135.9908,171.6077,4.577,-0.3967436474261147,-0.6214919924315085,0.3240850400055118,-0.5663624913637715,-0.40033878535095385,-0.16602370601281763
TCGA-AG-A02G-01,MSS_TP53wt,0.47449324324324327,1379.7874,12816.8469,3591.9387,0.0777027027027027,0.9949324324324325,0.4831081081081081,112.4558,0.3627,443.106,56.2056,142.4854,72.1027,66.896,43.3843,19.3755,172.9566,156.6881,128.3984,128.3897,1.5018,-0.2919343940353263,-0.27889541537653717,-0.12369058550213302,-0.22262774633489416,-0.4888125478545023,0.2661848015196081
TCGA-AG-A02N-01,MSIH_TP53mut,0.3364864864864865,2799.1895,2455.5732,2942.9185,0.5118243243243243,0.14527027027027026,0.2939189189189189,113.9309,7.6045,309.2559,172.2838,210.395,173.0018,137.9082,18.0892,41.2809,107.8009,961.213,104.4097,222.7294,24.3062,-0.07773346203563994,-0.02506224492378681,0.02371906826962932,-0.07700348423175696,-0.05027088732284897,-0.026732596908907988
TCGA-AG-A02X-01,MSS_TP53mut,0.5251689189189189,2808.8707,2626.623,6616.2494,0.5135135135135135,0.17567567567567569,0.8902027027027027,26.2365,-0.2946,50.0679,37.7192,59.566,34.4353,36.5557,12.159,4.1016,64.626,597.0416,63.6109,443.8728,5.986,-0.5371092388559675,-0.6128755061620259,0.10067168442423935,-0.552916036698097,-0.22065354081406788,-0.3322624958840291
